Program Name/Major,Academic Division/School,Degree Level,Graduation Date,Job Title,Employing Organization,Position Location - State
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Team Lead,Ryan Companies,TX
Financial Management,Opus College of Business,Bachelor's,5/15/2019,Property Manager,AWS,MA
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2025,Lab Technician,AWS,OH
Financial Management,Opus College of Business,Bachelor's,5/15/2021,PR Specialist,KPMG,WI
Computer Science,School of Engineering,Bachelor's,5/15/2020,Community Outreach Specialist,Toro Company,FL
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2023,Quantitative Analyst,Accenture,NY
Elementary Education (K-6),School of Education,Bachelor's,5/15/2022,Paralegal,Allina Health,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2025,Web Developer,Google,WI
Marketing Management,Opus College of Business,Bachelor's,5/15/2020,Systems Administrator,Kraus-Anderson,MN
Criminal Justice,College of Arts and Sciences,Bachelor's,5/15/2023,Consultant,General Mills,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2020,Accountant,PwC,GA
Marketing Management,Opus College of Business,Bachelor's,5/15/2023,Marketing Coordinator,Target (Tech),OH
Political Science,College of Arts and Sciences,Bachelor's,5/15/2024,Case Manager,UnitedHealth Group,MN
Accounting,Opus College of Business,Bachelor's,5/15/2024,Property Manager,US Bank,ND
Computer Science,School of Engineering,Bachelor's,5/15/2020,Web Developer,CBRE Group,GA
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2024,Graphic Designer,Children's Minnesota,TX
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2020,HR Generalist,Ryan Companies,MA
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2020,DevOps Engineer,Land O'Lakes,MN
Political Science,College of Arts and Sciences,Bachelor's,5/15/2023,Legal Coordinator,Mortenson,CA
Biology,College of Arts and Sciences,Bachelor's,5/15/2022,Medical Assistant,Toro Company,IL
Data Science,School of Engineering,Bachelor's,5/15/2025,Scientist,Google,ND
COJO Journalism,College of Arts and Sciences,Bachelor's,5/15/2025,PR Specialist,Sleep Number,FL
International Business,Opus College of Business,Bachelor's,5/15/2022,Design Engineer,Land O'Lakes,GA
Exercise Science,College of Arts and Sciences,Bachelor's,5/15/2022,Quantitative Analyst,University of St. Thomas,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2023,Quantitative Analyst,Cargill,CA
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2025,Case Manager,RBC Wealth Management,WI
Biology,College of Arts and Sciences,Bachelor's,5/15/2023,Grant Writer,Microsoft,FL
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2019,DevOps Engineer,UnitedHealth Group,WI
Computer Science,School of Engineering,Bachelor's,5/15/2019,IT Analyst,Xcel Energy,IA
Social Work,School of Education,Bachelor's,5/15/2019,Instructor,Wayzata Public Schools,GA
International Business,Opus College of Business,Bachelor's,5/15/2022,Underwriter,Securian Financial,TX
Operations Management,Opus College of Business,Bachelor's,5/15/2020,Inside Sales Rep,University of St. Thomas,MN
Computer Science,School of Engineering,Bachelor's,5/15/2024,Design Engineer,Intel,GA
Marketing Management,Opus College of Business,Bachelor's,5/15/2019,Accountant,Accenture,TX
Computer Engineering,School of Engineering,Bachelor's,5/15/2022,DevOps Engineer,Polaris,FL
Marketing Management,Opus College of Business,Bachelor's,5/15/2025,Creative Director,Sleep Number,MN
Accounting,Opus College of Business,Bachelor's,5/15/2020,Content Strategist,Grant Thornton,GA
Marketing Management,Opus College of Business,Bachelor's,5/15/2022,Tax Associate,Boston Consulting Group,IA
Marketing Management,Opus College of Business,Bachelor's,5/15/2019,Auditor,EY,NE
Financial Management,Opus College of Business,Bachelor's,5/15/2025,Appraiser,EY,MN
Accounting,Opus College of Business,Bachelor's,5/15/2021,Underwriter,PwC,OH
Marketing Management,Opus College of Business,Bachelor's,5/15/2021,Auditor,Wells Fargo,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2023,Education Coordinator,Great River Energy,MN
Psychology,College of Arts and Sciences,Bachelor's,5/15/2019,Program Coordinator,Hennepin County,IA
Human Resources Management,Opus College of Business,Bachelor's,5/15/2023,Account Manager,Cargill,SD
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2022,Project Engineer,Cargill,MA
Real Estate Studies,Opus College of Business,Bachelor's,5/15/2024,Account Executive,Deloitte,TX
Art History,College of Arts and Sciences,Bachelor's,5/15/2020,Multimedia Specialist,Abbott Laboratories,GA
Public Health,College of Arts and Sciences,Bachelor's,5/15/2019,Research Scientist,Fairview,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2019,Public Administrator,Ameriprise Financial,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2024,Tax Associate,Ryan Companies,NY
Operations Management,Opus College of Business,Bachelor's,5/15/2023,Administrative Assistant,Cargill,ND
Journalism,College of Arts and Sciences,Bachelor's,5/15/2022,Research Assistant,Google,CO
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2023,Public Administrator,Honeywell,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2020,Specialist,CBRE Group,MN
Psychology,College of Arts and Sciences,Bachelor's,5/15/2022,HR Coordinator,Kraus-Anderson,FL
Music - Business,College of Arts and Sciences,Bachelor's,5/15/2020,Office Manager,Deloitte,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2023,Business Development Associate,Hennepin County,NE
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2019,Registered Nurse,NextEra Energy,IA
International Business,Opus College of Business,Bachelor's,5/15/2024,Account Executive,Sleep Number,CA
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2025,Software Engineer,Microsoft,OH
Environmental Science,College of Arts and Sciences,Bachelor's,5/15/2025,Electrical Engineer,Minneapolis Public Schools,WA
Communication Studies,College of Arts and Sciences,Bachelor's,5/15/2023,Multimedia Specialist,PwC,FL
Marketing Management,Opus College of Business,Bachelor's,5/15/2022,Legal Coordinator,Best Buy,WA
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2023,Estimator,UnitedHealth Group,IL
Software Engineering,School of Engineering,Bachelor's,5/15/2019,Lab Technician,CenterPoint Energy,CA
Financial Management,Opus College of Business,Bachelor's,5/15/2023,Real Estate Associate,PwC,MN
Catholic Studies,College of Arts and Sciences,Bachelor's,5/15/2024,Graphic Designer,Wayzata Public Schools,MA
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2024,Inside Sales Rep,Boston Consulting Group,MN
Electrical Engineering,School of Engineering,Bachelor's,5/15/2019,Research Assistant,KPMG,NE
Chemistry,College of Arts and Sciences,Bachelor's,5/15/2021,Scientist,Fairview,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2022,Design Engineer,General Mills,GA
Biology,College of Arts and Sciences,Bachelor's,5/15/2024,Operations Manager,Sleep Number,MA
Philosophy,College of Arts and Sciences,Bachelor's,5/15/2020,Legal Assistant,AWS,MN
Communication Studies,College of Arts and Sciences,Bachelor's,5/15/2024,Inspector,AWS,IA
Accounting,Opus College of Business,Bachelor's,5/15/2022,Executive Assistant,RBC Wealth Management,WI
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2024,Logistics Manager,Land O'Lakes,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2022,Teaching Assistant,Deloitte,FL
Marketing Management,Opus College of Business,Bachelor's,5/15/2022,Financial Analyst,Mortenson,CO
Marketing Management,Opus College of Business,Bachelor's,5/15/2023,Government Affairs Specialist,McGough Construction,GA
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Assistant,KPMG,GA
Biochemistry,College of Arts and Sciences,Bachelor's,5/15/2022,Benefits Analyst,Abbott Northwestern Hospital,CA
Marketing Management,Opus College of Business,Bachelor's,5/15/2024,Account Manager,US Bank,IL
Operations Management,Opus College of Business,Bachelor's,5/15/2022,Analytics Consultant,Best Buy,ND
History,College of Arts and Sciences,Bachelor's,5/15/2025,Program Coordinator,University of St. Thomas,FL
Catholic Studies,College of Arts and Sciences,Bachelor's,5/15/2025,Civil Engineer,Abbott Laboratories,CO
Psychology,College of Arts and Sciences,Bachelor's,5/15/2023,Social Media Manager,Ryan Companies,ND
Operations Management,Opus College of Business,Bachelor's,5/15/2020,Inside Sales Rep,Abbott Northwestern Hospital,MA
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Business Intelligence Analyst,Optum,NY
Environmental Science,College of Arts and Sciences,Bachelor's,5/15/2021,Legislative Aide,3M,IA
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2019,Marketing Coordinator,Optum,MN
Accounting,Opus College of Business,Bachelor's,5/15/2020,Account Executive,Deloitte,ND
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Sales Representative,KPMG,OH
Accounting,Opus College of Business,Bachelor's,5/15/2021,Marketing Coordinator,Allina Health,OH
Marketing Management,Opus College of Business,Bachelor's,5/15/2021,Procurement Specialist,Allianz,MN
Biology,College of Arts and Sciences,Bachelor's,5/15/2021,Construction Manager,EY,IL
Biology,College of Arts and Sciences,Bachelor's,5/15/2024,Health Coach,Abbott Northwestern Hospital,MN
Data Science,School of Engineering,Bachelor's,5/15/2025,Quantitative Analyst,Optum,GA
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2024,Account Manager,Mayo Clinic,MN
History,College of Arts and Sciences,Bachelor's,5/15/2024,Assistant Manager,Cargill,OH
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Accountant,EY,WA
Financial Management,Opus College of Business,Bachelor's,5/15/2019,Operations Analyst,McGough Construction,WA
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Coordinator,KPMG,MA
Computer Science,School of Engineering,Bachelor's,5/15/2019,Inspector,Toro Company,SD
Exercise Science,College of Arts and Sciences,Bachelor's,5/15/2021,PR Specialist,Fairview,OH
Communication Studies,College of Arts and Sciences,Bachelor's,5/15/2020,IT Analyst,Mortenson,IL
Biology,College of Arts and Sciences,Bachelor's,5/15/2024,Research Assistant,University of St. Thomas,WA
Psychology,College of Arts and Sciences,Bachelor's,5/15/2021,Paralegal,Osseo Area Schools,IA
Spanish Cultural/Literary St.,College of Arts and Sciences,Bachelor's,5/15/2022,Clinical Research Coordinator,Best Buy,MA
Psychology,College of Arts and Sciences,Bachelor's,5/15/2025,Property Manager,UnitedHealth Group,FL
Human Resources Management,Opus College of Business,Bachelor's,5/15/2025,Financial Analyst,Osseo Area Schools,WA
Accounting,Opus College of Business,Bachelor's,5/15/2021,Financial Analyst,Sleep Number,IL
Strategic Comm: Ad and PR,College of Arts and Sciences,Bachelor's,5/15/2023,Creative Director,Land O'Lakes,GA
Social Work,School of Education,Bachelor's,5/15/2023,Supply Chain Coordinator,St. Paul Public Schools,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Operations Director,EY,SD
Computer Science,School of Engineering,Bachelor's,5/15/2023,Systems Administrator,AWS,CA
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Operations Director,Ameriprise Financial,OH
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2024,Quantitative Analyst,Accenture,GA
Marketing Management,Opus College of Business,Bachelor's,5/15/2023,Site Supervisor,US Bank,WA
Data Science,School of Engineering,Bachelor's,5/15/2020,Advisory Associate,CBRE Group,FL
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2021,Lab Technician,Abbott Laboratories,NY
Systems Engineering,School of Engineering,Bachelor's,5/15/2023,Site Supervisor,Great River Energy,GA
Biology,College of Arts and Sciences,Bachelor's,5/15/2025,Business Intelligence Analyst,McGough Construction,TX
Electrical Engineering,School of Engineering,Bachelor's,5/15/2022,Site Supervisor,3M,FL
Computer Engineering,School of Engineering,Bachelor's,5/15/2025,DevOps Engineer,Minneapolis Public Schools,TX
Accounting,Opus College of Business,Bachelor's,5/15/2024,Administrative Assistant,Medtronic,CO
Economics - Business,Opus College of Business,Bachelor's,5/15/2023,Policy Analyst,Deloitte,NE
Marketing Management,Opus College of Business,Bachelor's,5/15/2021,Operations Director,General Mills,FL
Criminal Justice,College of Arts and Sciences,Bachelor's,5/15/2025,Tutor,AmeriCorps,FL
Social Work,School of Education,Bachelor's,5/15/2023,Legal Coordinator,Wayzata Public Schools,WA
Biochemistry,College of Arts and Sciences,Bachelor's,5/15/2021,Auditor,Allina Health,OH
Marketing Management,Opus College of Business,Bachelor's,5/15/2022,Consultant,KPMG,MN
Electrical Engineering,School of Engineering,Bachelor's,5/15/2023,Electrical Engineer,Polaris,ND
Financial Management,Opus College of Business,Bachelor's,5/15/2019,Project Manager,3M,FL
Social Work,School of Education,Bachelor's,5/15/2020,Teacher,PwC,WA
Digital Media Arts,College of Arts and Sciences,Bachelor's,5/15/2023,Clinical Research Coordinator,AWS,IA
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2020,Field Engineer,Cargill,GA
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2021,Civil Engineer,3M,WA
Data Science,School of Engineering,Bachelor's,5/15/2023,Paralegal,Microsoft,WA
Marketing Management,Opus College of Business,Bachelor's,5/15/2023,Systems Administrator,Children's Minnesota,IA
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Business Intelligence Analyst,PwC,ND
Exercise Science,College of Arts and Sciences,Bachelor's,5/15/2022,Analytics Consultant,PwC,WI
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2023,Program Coordinator,Target (Tech),WI
Psychology,College of Arts and Sciences,Bachelor's,5/15/2025,Field Engineer,CBRE Group,MA
Accounting,Opus College of Business,Bachelor's,5/15/2022,Marketing Coordinator,Land O'Lakes,WI
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2021,Research Scientist,US Bank,IA
Exercise Science,College of Arts and Sciences,Bachelor's,5/15/2019,Medical Assistant,Wayzata Public Schools,OH
Data Science,School of Engineering,Bachelor's,5/15/2024,Real Estate Associate,Accenture,MN
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2020,Receptionist,NextEra Energy,MA
Computer Science,School of Engineering,Bachelor's,5/15/2023,DevOps Engineer,McKinsey,IA
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2024,City Planner,EY,NE
Acad Behavioral Strategist,School of Education,Bachelor's,5/15/2025,Visual Designer,EY,TX
Communication Studies,College of Arts and Sciences,Bachelor's,5/15/2019,DevOps Engineer,Abbott Laboratories,NE
Financial Management,Opus College of Business,Bachelor's,5/15/2024,Underwriter,Securian Financial,IL
Biology,College of Arts and Sciences,Bachelor's,5/15/2021,Registered Nurse,Donaldson Company,CA
Accounting,Opus College of Business,Bachelor's,5/15/2020,Brand Manager,Land O'Lakes,NE
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2023,Marketing Coordinator,Wells Fargo,FL
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2019,Operations Analyst,KPMG,ND
International Business,Opus College of Business,Bachelor's,5/15/2022,Talent Acquisition Specialist,Medtronic,IL
Computer Engineering,School of Engineering,Bachelor's,5/15/2021,Project Engineer,Kraus-Anderson,SD
Art History,College of Arts and Sciences,Bachelor's,5/15/2024,Education Coordinator,Cargill,WI
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2019,Quantitative Analyst,NextEra Energy,MN
COJO Strategic Communications,College of Arts and Sciences,Bachelor's,5/15/2019,Estimator,Deloitte,GA
Biology,College of Arts and Sciences,Bachelor's,5/15/2019,Software Engineer,Xcel Energy,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2023,Financial Analyst,Cargill,OH
Sociology,College of Arts and Sciences,Bachelor's,5/15/2022,Instructor,Kraus-Anderson,MA
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2025,Field Engineer,Land O'Lakes,CO
